Date;Alerts
1/01/2021;1
2/01/2021;2
3/01/2021;1
4/01/2021;0
5/01/2021;0
6/01/2021;1
7/01/2021;0
8/01/2021;1
9/01/2021;2
10/01/2021;0
11/01/2021;0
12/01/2021;0
13/01/2021;1
14/01/2021;0
15/01/2021;0
16/01/2021;0
17/01/2021;2
18/01/2021;2
19/01/2021;0
20/01/2021;0
21/01/2021;2
22/01/2021;1
23/01/2021;1
24/01/2021;1
25/01/2021;1
26/01/2021;1
27/01/2021;1
28/01/2021;1
29/01/2021;0
30/01/2021;1
31/01/2021;2
1/02/2021;0
2/02/2021;2
3/02/2021;2
4/02/2021;2
5/02/2021;1
6/02/2021;2
7/02/2021;1
8/02/2021;1
9/02/2021;2
10/02/2021;0
11/02/2021;1
12/02/2021;1
13/02/2021;0
14/02/2021;1
15/02/2021;1
16/02/2021;1
17/02/2021;0
18/02/2021;1
19/02/2021;0
20/02/2021;2
21/02/2021;2
22/02/2021;0
23/02/2021;2
24/02/2021;0
25/02/2021;0
26/02/2021;1
27/02/2021;2
28/02/2021;2
1/03/2021;0
2/03/2021;0
3/03/2021;2
4/03/2021;2
5/03/2021;0
6/03/2021;1
7/03/2021;2
8/03/2021;1
9/03/2021;2
10/03/2021;2
11/03/2021;1
12/03/2021;2
13/03/2021;0
14/03/2021;2
15/03/2021;2
16/03/2021;0
17/03/2021;0
18/03/2021;1
19/03/2021;0
20/03/2021;0
21/03/2021;2
22/03/2021;0
23/03/2021;2
24/03/2021;0
25/03/2021;0
26/03/2021;0
27/03/2021;0
28/03/2021;0
29/03/2021;1
30/03/2021;2
31/03/2021;1
1/04/2021;1
2/04/2021;1
3/04/2021;2
4/04/2021;0
5/04/2021;0
6/04/2021;0
7/04/2021;2
8/04/2021;2
9/04/2021;0
10/04/2021;2
11/04/2021;2
12/04/2021;1
13/04/2021;0
14/04/2021;1
15/04/2021;2
16/04/2021;2
17/04/2021;2
18/04/2021;2
19/04/2021;1
20/04/2021;1
21/04/2021;1
22/04/2021;1
23/04/2021;2
24/04/2021;2
25/04/2021;2
26/04/2021;1
27/04/2021;2
28/04/2021;0
29/04/2021;1
30/04/2021;2
1/05/2021;2
2/05/2021;1
3/05/2021;0
4/05/2021;1
5/05/2021;2
6/05/2021;2
7/05/2021;2
8/05/2021;1
9/05/2021;0
10/05/2021;1
11/05/2021;1
12/05/2021;0
13/05/2021;1
14/05/2021;1
